y, predicted
-1.586191872950812364e-03,-1.786775887012481689e-03
-1.419110157421480702e-03,-1.765615306794643402e-03
-1.547095749050447170e-03,-1.764061860740184784e-03
-1.436887073712408763e-03,-1.784315332770347595e-03
-1.348015003810828323e-03,-1.755908131599426270e-03
-1.643041192881700661e-03,-1.737385056912899017e-03
-1.387115811281326369e-03,-1.760543324053287506e-03
-1.291161486466328246e-03,-1.754101365804672241e-03
-1.433362522524717379e-03,-1.732950098812580109e-03
-1.532846631697759024e-03,-1.772755291312932968e-03
-1.476000694133960695e-03,-1.754882279783487320e-03
-1.362300623416007935e-03,-1.770935021340847015e-03
-1.532838842684641593e-03,-1.745905727148056030e-03
-1.600343664517449261e-03,-1.796736847609281540e-03
-1.415591329990076612e-03,-1.756636891514062881e-03
-1.490213013258624448e-03,-1.771266106516122818e-03
-1.419152530723034010e-03,-1.782120671123266220e-03
